Symbol,Date,Open,High,Low,Close,Percent Change,Volume,Is_Tomorrow_High,Days_Before_Holidays,MA_10,Bollinger_Middle,Bollinger_Upper,Bollinger_Lower,MACD,Signal_Line,ADX,polarity,subjectivity
NABIL,2014-01-01,2210.0,2180.0,2142.0,2151.0,-2.67,433.0,0,0.0,591.9300000000001,598.0550000000001,613.6311965838138,582.4788034161863,-4.659392377344716,-3.5117860828372454,0.0,0.0,0.0
NABIL,2014-01-02,2151.0,2150.0,2090.0,2125.0,-1.21,10110.0,0,0.0,591.9300000000001,598.0550000000001,613.6311965838138,582.4788034161863,-4.659392377344716,-3.5117860828372454,0.0,0.0,0.0
NABIL,2014-01-05,2125.0,2125.0,2100.0,2125.0,0.0,5113.0,0,2.0,591.9300000000001,598.0550000000001,613.6311965838138,582.4788034161863,-4.659392377344716,-3.5117860828372454,0.0,0.0,0.0
NABIL,2014-01-06,2125.0,2118.0,2095.0,2110.0,-0.71,3381.0,1,0.0,591.9300000000001,598.0550000000001,613.6311965838138,582.4788034161863,-4.659392377344716,-3.5117860828372454,0.0,0.0,0.0
NABIL,2014-01-07,2110.0,2135.0,2070.0,2126.0,0.76,4731.0,1,0.0,591.9300000000001,598.0550000000001,613.6311965838138,582.4788034161863,-4.659392377344716,-3.5117860828372454,0.0,0.0,0.0
NABIL,2014-01-08,2126.0,2180.0,2100.0,2168.0,1.98,2502.0,1,0.0,591.9300000000001,598.0550000000001,613.6311965838138,582.4788034161863,-4.659392377344716,-3.5117860828372454,0.0,0.0,0.0
NABIL,2014-01-09,2168.0,2172.0,2125.0,2172.0,0.18,1115.0,1,0.0,591.9300000000001,598.0550000000001,613.6311965838138,582.4788034161863,-4.659392377344716,-3.5117860828372454,0.0,0.0,0.0
NABIL,2014-01-12,2172.0,2225.0,2105.0,2225.0,2.44,1788.0,1,2.0,591.9300000000001,598.0550000000001,613.6311965838138,582.4788034161863,-4.659392377344716,-3.5117860828372454,0.0,0.0,0.0
NABIL,2014-01-13,2225.0,2260.0,2225.0,2250.0,1.12,1385.0,0,0.0,591.9300000000001,598.0550000000001,613.6311965838138,582.4788034161863,-4.659392377344716,-3.5117860828372454,0.0,0.0,0.0
NABIL,2014-01-14,2250.0,2250.0,2220.0,2220.0,-1.33,287.0,0,0.0,2167.2,598.0550000000001,613.6311965838138,582.4788034161863,-4.659392377344716,-3.5117860828372454,0.0,0.0,0.0
