"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"NEPSE","2023-08-30","1994.63","2001.72","1985.1","1990.59","-0.14 %","1,130,008,041.15"
"NEPSE","2023-08-29","1999.01","2002.81","1988.51","1993.42","-0.25 %","865,120,452.40"
"NEPSE","2023-08-28","1994.03","2009.7","1989.37","1998.48","0.25 %","988,628,562.24"
"NEPSE","2023-08-27","2014.21","2016.11","1989.22","1993.38","-1.02 %","1,262,767,876.55"
"NEPSE","2023-08-24","2045.86","2052.2","2009.09","2013.93","-1.54 %","1,550,582,685.37"
"NEPSE","2023-08-23","2016.8","2048.26","2015.8","2045.45","1.46 %","1,510,488,984.60"
"NEPSE","2023-08-22","1998.14","2016.18","1990.29","2015.98","0.88 %","1,332,564,769.51"
"NEPSE","2023-08-21","2012.46","2019.51","1991.81","1998.28","-0.64 %","1,408,981,601.68"
"NEPSE","2023-08-20","2033.2","2034.88","2008.03","2011.14","-1.08 %","1,447,408,942.67"
"NEPSE","2023-08-17","2025.98","2043.01","2025.4","2033.13","0.39 %","1,541,367,398.79"
"NEPSE","2023-08-16","2044.05","2044.05","2014","2025.12","-0.99 %","1,679,980,623.09"
"NEPSE","2023-08-15","2077.03","2078.76","2041.12","2045.44","-1.53 %","2,157,312,369.51"
"NEPSE","2023-08-14","2079.25","2094.04","2073.49","2077.24","-0.17 %","2,091,390,638.30"
"NEPSE","2023-08-13","2065.4","2087.93","2057.7","2080.86","0.71 %","3,018,460,512.26"
"NEPSE","2023-08-10","2058.96","2080.81","2045.98","2066.05","0.24 %","2,156,583,945.68"
"NEPSE","2023-08-09","2018.72","2061.08","2000.23","2060.91","2.03 %","1,888,326,469.62"
"NEPSE","2023-08-08","2047.72","2055.31","2013.37","2019.85","-1.38 %","1,737,014,499.56"
"NEPSE","2023-08-07","2051.57","2069.73","2030.19","2048.26","-0.15 %","2,333,573,297.98"
"NEPSE","2023-08-06","2095.43","2101.9","2041.69","2051.47","-1.83 %","2,687,148,234.55"
"NEPSE","2023-08-03","2088.56","2109.29","2083.92","2089.84","0.14 %","1,781,941,701.81"
"NEPSE","2023-08-02","2078.6","2086.84","2062","2086.84","0.44 %","1,812,473,856.13"
"NEPSE","2023-08-01","2106.06","2124.32","2070.33","2077.58","-1.35 %","1,924,434,899.90"
"NEPSE","2023-07-31","2097.85","2126.57","2094.06","2106.18","0.27 %","1,858,002,175.73"
"NEPSE","2023-07-30","2126.85","2138.67","2091.5","2100.34","-1.22 %","2,502,886,527.87"
"NEPSE","2023-07-27","2155.49","2165.97","2124.32","2126.48","-1.37 %","2,425,780,564.10"
"NEPSE","2023-07-26","2168.46","2186.49","2152.54","2156.2","-0.37 %","2,432,508,769.57"
"NEPSE","2023-07-25","2202.99","2206.46","2162.55","2164.31","-1.64 %","2,910,732,418.71"
"NEPSE","2023-07-24","2227.21","2244.13","2194.16","2200.5","-1.19 %","4,737,608,810.44"
"NEPSE","2023-07-23","2166.47","2228.74","2166.44","2227.16","2.92 %","4,375,196,232.80"
"NEPSE","2023-07-20","2165.7","2179.72","2152.82","2163.92","-0.06 %","3,052,410,659.63"
"NEPSE","2023-07-19","2154.02","2174.63","2141.82","2165.24","0.52 %","3,348,679,900.45"
"NEPSE","2023-07-18","2147.69","2171.13","2146.52","2154.07","0.46 %","3,548,829,029.13"
"NEPSE","2023-07-17","2097.99","2144.6","2089.16","2144.16","2.24 %","2,560,191,288.71"
"NEPSE","2023-07-16","2085.68","2105.67","2079.18","2097.09","0.58 %","2,376,427,573.77"
"NEPSE","2023-07-13","2095.72","2121.83","2080.42","2084.93","-0.60 %","3,390,660,605.31"
"NEPSE","2023-07-12","2072.24","2099.71","2072.24","2097.55","1.22 %","3,187,695,774.34"
"NEPSE","2023-07-11","2078.25","2084.92","2064.52","2072.24","-0.23 %","2,859,490,490.47"
"NEPSE","2023-07-10","2081.75","2102.09","2067.85","2076.96","-0.04 %","3,797,986,583.25"
"NEPSE","2023-07-09","2050.36","2085.23","2049.69","2077.76","1.38 %","3,042,543,961.01"
"NEPSE","2023-07-06","2050.28","2064.57","2033.43","2049.38","0.00 %","3,077,498,315.30"
"NEPSE","2023-07-05","2090.38","2101.59","2046.55","2049.44","-1.88 %","3,073,992,136.78"
"NEPSE","2023-07-04","2079.42","2104.38","2067.22","2088.7","0.61 %","2,576,140,128.50"
"NEPSE","2023-07-03","2096.72","2113.74","2069.6","2075.97","-1.02 %","4,051,078,375.44"
"NEPSE","2023-07-02","2154.8","2160.24","2094.07","2097.29","-2.50 %","5,081,976,179.39"
"NEPSE","2023-06-28","2193.51","2205.97","2146.06","2150.99","-1.62 %","5,972,286,481.45"
"NEPSE","2023-06-27","2132.61","2186.68","2132.48","2186.36","2.67 %","5,476,287,740.48"
"NEPSE","2023-06-26","2124.01","2154.86","2120.42","2129.42","0.55 %","5,312,422,087.27"
